OBJETIVO ESTRATEGICO;LINEA ESTRATEGICA;CODIGO DEL PROGRAMA;NOMBRE DEL PROGRAMA;CODIGO DEL PROYECTO;NOMBRE DEL PROYECTO;No O FICHA DEL PROYECTO;ACTIVIDAD;TIPO DE GASTO;INDICADOR DEL PRODUCTO;UNIDAD DE MEDIDA DE LA META;META PROGRAMADA DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;VALOR DEL PROYECTO;VALOR EJECUTADO DEL PROYECTO;FUENTE DE FINANCIACION;FECHA DE INICIO;FECHA DE FINALIZACION;UNIDAD DE MEDIDA DE LA COBERTURA DEL PROYECTO;COBERTURA PROYECTADA;COBERTURA EJECUTADA;AREA RESPONSABLE DE LA EJECUCION;RESPONSABLE
Fortalecer el mercadeo y la venta d servicios Institucional que permita mejorar la imagen corporativa y posicionar la ESE como una de las mejores de la region;Gestion de Calidad al servicios de Todos;hdsa06;Mercadeo y Venta de Servicios;hdsa06.2024;Oferta Institucional;hdsa06.2024;Establecer estrategias de mercadeo: contratación de profesionales en salud Ampliacion de horario de atencion para la prestación de servicios especializados Realizar convenios con las diferentes EPS;FUNCIONAMIENTO;Incremetar la venta de servicios en un 10% anual;PORCENTAJE;10;2,37;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DR RENGIFO
Fortalecer el mercadeo y la venta d servicios Institucional que permita mejorar la imagen corporativa y posicionar la ESE como una de las mejores de la region;Gestion de Calidad al servicios de Todos;hdsa06;Mercadeo y Venta de Servicios;hdsa06.2024;Oferta Institucional;hdsa06.2024;1 Análisis de la capacidad instalada en recurso humano 2 Contratar el personal que cumpla con los requisitos y requerimientos que garanticen las actividades asociadas 3 Asignación de funciones de acuerdo a los perfiles y disponibilidades requeridas;FUNCIONAMIENTO;Garantizar el 100% del personal profesional especializados requerido por la ESE;PORCENTAJE;100;95,2;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;DR RENGIFO
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Estandarizacion de Procesos y Procedimeientos para la orientacion en la toma de desiciones y la transparencia en la Gestion Publica;hdsa07.2024;1 Minimizar costos 2 Aumentar Producción;FUNCIONAMIENTO;Evolución del Gasto por Unidad de Valor Relativo producida Gasto de Funcionamiento y Operación Comercial y prestación de servicios comprometidos en el año objeto de la evaluación/ Numero de UVR producidas en la Vigencia / Gasto de Funcionamiento y Operación Comercial y Prestación de Servicios comprometido en la Vigencia anterior en valores constantes del año objeto de evaluación/ número de UVR producidas en la vigencia anterior;PORCENTAJE;90;92;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;RODRIGO TORRES
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Estandarizacion de Procesos y Procedimeientos para la orientacion en la toma de desiciones y la transparencia en la Gestion Publica;hdsa07.2024;1 Implementar actividades que permitan reducir el gasto en la institución: A Implementar mecanismos de control y seguimiento de consumo de insumos B Ejecución del plan de austeridad en el gasto 2 A Realizar seguimiento mensual de los gastos comprometidos B Informar a la Gerencia sobre las variaciones del presupuesto: valor ejecutado v/s valor proyectado C Solicitar de la gerencia la retroalimentación de las acciones correctivas a que haya lugar;FUNCIONAMIENTO;Resultado Equilibrio Presupuestal con Recaudo Valor de la ejecución de ingresos totales recaudados en la vigencia incluye recaudo de CxC de vigencias anteriores / Valor de la ejecución de Gastos comprometidos en la vigencia objeto de evaluación incluye el valor comprometido de CxP vigencias anteriores;PORCENTAJE;90;85;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;RODRIGO TORRES
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Estandarizacion de Procesos y Procedimeientos para la orientacion en la toma de desiciones y la transparencia en la Gestion Publica;hdsa07.2024;1 facturación diaria de los servicios oportunamente 2 Realizar las autorizaciones y las validaciones 3 Cumplir con la norma estipulada en el Dcto 4747 y Res 3047 4 Radicación cuentas médicas 5 Radicar en los tiempos establecidos por las EPS 6 Análisis de datos y elaboración de estrategias acorde a los resultados;FUNCIONAMIENTO;Oportunidad en la Radicación Numero de Facturas radicadas en los primeros 20 dias del mes sigueinte a la prestacion del servicio sobre Numero de Facturas generadas en el mes a analizar por 100;PORCENTAJE;90;95;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;LINA GIL
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Estandarizacion de Procesos y Procedimeientos para la orientacion en la toma de desiciones y la transparencia en la Gestion Publica;hdsa07.2024;1 Verificar trimestralmente los módulos que afecten o alimenten la contabilidad y el presupuesto 2 Presentar acta de conciliación a Gerencia;FUNCIONAMIENTO;Conciliar trimestralmente los módulos cartera activos fijos facturación tesorería glosas con el módulo de contabilidad;PORCENTAJE;100;100;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JUAN DAVID
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Estandarizacion de Procesos y Procedimeientos para la orientacion en la toma de desiciones y la transparencia en la Gestion Publica;hdsa07.2024;1 Realizar acuerdos periódicos de pago con las EPS y otros que apliquen;FUNCIONAMIENTO;% de CARTERA RECAUDADA Total Cartera Recaudada / total Cartera Radicada;PORCENTAJE;80;46;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;JUAN DAVID
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Mejoramiento Institucional;hdsa07.2024;1 Realización de Plan de Auditorias Internas 2 Socilizacion del Plan de Auditorias3 ejecucion del Plan;FUNCIONAMIENTO;Seguimiento a los Porcesos numero de Auditorias internas realizada a los procesos sobre numero de auditorias progrmadas;PORCENTAJE;90;90;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ZORAIDA
Garantizar un manejo gerencial que permita la sostenibilidad de la Istitución con enfasis en la sostenibilidad y rentabilidad;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa07;Gestion Fianciera;hdsa07.2024;Mejoramiento Institucional;hdsa07.2024;1 implementar las siete dimensiones del modelo integrado de planeación y gestión MIPG e incorporarlo al ciclo de gestión PHVA;FUNCIONAMIENTO;Actulización e Implementación del Modelo Integrado de Planeación y Gestión MIPG;PORCENTAJE;80;62;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;LUISA CORREA
Establecer la cultura donde los costos sean parte escencial en la busqueda de la competitividad sin detrimento de la calidad en la prestación de los servicios;Gestion Financiera y Administrativa con Eficacia y Sostenibilidad;hdsa08;Gestión de Costos;hdsa08.2024;Analisis por producto y centro de costos;hdsa08.2024;1 Identificación de los centros de costos y cada uno de los productos que los integran 2 Determinar los cotos de cada uno de los productos y centros de costos de la entidad;FUNCIONAMIENTO;Realizar el costo al 100% de los productos y centros de costos de la entidad;PORCENTAJE;100;30;0;0;RECURSOS PROPIOS;1/01/2025;31/12/2025;PORCENTAJE;0;0;GERENCIA;ROSA
