No DE ESTRATEGIA;AREAS INVOLUCRADAS;TIPO DE INDICADOR;DESCRIPCION DEL INDICADOR;INDICADOR;CALCULO DEL INDICADOR;ANALISIS;NOMBRE DE LA ESTRATEGIA;RESPONSABLE;;cumplimiento plan de desarrollo;cumplimiento seguimiento;
1;Subdireccion Cientifica;G;Porcentaje de infección hospitalaria en sitio operatorio;(Todas las infecciones de sitio operatorio detectadas durante el seguimiento en el postquirúrgico en el período / Total de procedimientos quirúrgicos realizados en el período) *100;100;Porcentaje de infección hospitalaria en sitio operatorio;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;2;;100%
1;Subdireccion Cientifica;G;Análisis mortalidad intrahospitalaria;(Número de muertes intrahospitalaria mayor de 48 horas revisada en el comité respectivo en la vigencia objeto de evaluación / Total de muertes intrahospitalariasmayores de 48 horas en la vigencia objeto de evaluación )*100;100;Análisis mortalidad intrahospitalaria;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;100;;100%
1;Subdireccion Cientifica;G;Evaluación de aplicación de guía de manejo de la primera causa de egreso hospitalario o de morbilidad atendida;(Número de historias clínicas auditadas que hacen parte de la muestra representativa con aplicación estricta de la guía de manejo adaptada por la ESE para eldiagnóstico de la primera causa de egreso hospitalario o de morbilidad atendida en la vigencia objeto de evaluación / Total Historias Clínicas auditadas depacientes con el diagnóstico de la primera causa de egreso hospitalario o de morbilidad atendida en la entidad en la vigencia)*100;100;Evaluación de aplicación de guía de manejo de la primera causa de egreso hospitalario o de morbilidad atendida;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;100;;100%
1;Subdireccion Cientifica;G;Cumplimiento programa de Humanización;(Total de actividades realizadas/ total de actividades planeadas)*100;100;Cumplimiento programa de Humanización;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;100;;100%
1;Subdireccion Cientifica;G;Porcentaje de reingreso en tiempo menor a 15 días en hospitalización por igual diagnostico;(Número total de pacientes que reingresan al servicio de hospitalización, antes de 15 días, por el mismo diagnóstico de egreso en el periodo / Número total deegresos vivos en el periodo )*100;2,9;Porcentaje de reingreso en tiempo menor a 15 días en hospitalización por igual diagnostico;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;2;;69%
1;Subdireccion Cientifica;G;% de reingreso a servicio de urgencia antes de 72 horas;(Número de pacientes que reingresan al servicio de urgencias en la misma institución antes de 72 horas con el mismo diagnóstico de egreso / Número total de pacientes atendidos en el servicio de urgencias, en el periodo)*100;0,64;% de reingreso a servicio de urgencia antes de 72 horas;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;2;;100%
1;Subdireccion Cientifica;G;Cancelación de cirugías programadas atribuible a la institución;(número total de cirugías canceladas por el hospital / número total de cirugías programadas ) *100;0;Cancelación de cirugías programadas atribuible a la institución;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;8;;100%
1;Subdireccion Cientifica;G;Cumplimiento de metas consulta médica especializada;(Consultas realizadas / meta consultas a realizar ) *100;86,7;Cumplimiento de metas consulta médica especializada;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;100;;87%
1;Subdireccion Cientifica;G;Cumplimiento de metas Laboratorio;(actividades realizadas / meta actividades a realizar )*100;97,9;Cumplimiento de metas Laboratorio;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;100;;98%
1;Subdireccion Cientifica;G;Metas Cirugía programada;(Total de cirugías realizadas/ total de cirugías planeadas) *100;108;Metas Cirugía programada;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;90;;100%
1;Subdireccion Cientifica;G;Giro Cama;Número de pacientes que egresan en el periodo/número de camas disponibles en el mismo periodo;9,5;Giro Cama;Acreditación mediante servicios de calidad y eficiencia;DR RENGIFO;;2;;21%
